video_path,score1,score2,score3,score4,mos,ratio801_seed123_split_00
G1/floor33/100000.mp4,60.9733928381116,62.4936003549927,41.8346169923961,42.5626029174083,51.96605327572718,train
G1/floor33/100001.mp4,51.6614520016846,46.4741811568993,45.9072846762312,49.7627565553643,48.45141859754485,test
G1/floor33/100002.mp4,66.1396828558028,61.9879497166226,49.4894191321097,58.1671421342973,58.9460484597081,train
G1/floor33/100003.mp4,59.1527136634575,61.5211400609445,64.6182422577726,62.1564050614723,61.862125260911725,test
G1/floor33/100004.mp4,60.2680208835987,57.5265951100041,53.9494551634147,54.3403905002238,56.52111541431033,train
G1/floor33/100005.mp4,54.1765209103184,53.3790170099422,52.5469990930668,57.6497951482625,54.43808304039747,train
G1/floor33/100006.mp4,60.9743876038396,54.7838756369011,51.4031570885849,54.2077201605009,55.34228512245663,test
G1/floor33/100007.mp4,55.7502589330992,56.4924856593389,41.8123417975148,25.982558627933,45.00941125447147,train
G1/floor33/100008.mp4,63.4553818785255,60.6228919224387,53.804302432753,51.7370511622433,57.40490684899012,train
G1/floor33/100009.mp4,56.4841191805802,51.0117496273869,42.9265822320057,45.2591665468611,48.92040439670848,train
G1/floor33/100010.mp4,64.1235313956125,63.548004057064,40.8433474189044,52.4738730821107,55.24718898842289,train
G1/floor33/100011.mp4,56.1068286531591,57.7113949486969,51.8866848211969,49.3528827993908,53.76444780561093,test
G1/floor33/100012.mp4,55.4362004244882,57.9458688269208,47.36356463853,50.2210900825045,52.741680993110876,train
G1/floor33/100013.mp4,59.7927936180584,60.8807663560528,48.0348840150982,52.8911914009278,55.3999088475343,test
G1/floor33/100014.mp4,47.8013706425989,51.3186069290446,43.0462369183886,39.2304408707884,45.34916384020512,train
G1/floor33/100015.mp4,53.7412395757329,58.1215332946275,40.8531565572243,35.9817207452046,47.17441254319733,train
G1/floor33/100016.mp4,56.7170182940405,56.809052866727,42.1295007946363,36.8302413144892,48.12145331747325,train
G1/floor33/100017.mp4,60.8969970457468,57.6480923228359,48.0379359100087,45.4024876968938,52.99637824387129,train
G1/floor33/100018.mp4,44.6244642582524,51.6888162588138,50.3204763613488,46.784561824606,48.35457967575525,train
G1/floor33/100019.mp4,65.9932028159868,60.5710430592344,53.400883078155,54.2055810183665,58.542677492935674,train
G1/floor33/100020.mp4,59.712986840838,56.8160754728444,53.6457152512655,42.9280643987219,53.27571049091745,train
G1/floor33/100021.mp4,54.1661972091491,56.1860104277488,45.5985717642728,39.5148479582035,48.86640683984355,test
G1/floor33/100022.mp4,56.4140333149507,59.7687829387685,34.123910503565,29.7504186487343,45.01428635150462,train
G1/floor33/100023.mp4,59.0837358103917,62.8108217747242,56.8538997118509,58.1437495055265,59.22305170062333,train
G1/floor33/100024.mp4,56.8004922090522,58.5753241217851,40.4238190366851,36.7427849791399,48.13560508666558,test
G1/floor33/100025.mp4,58.0837952765444,57.4944584054562,39.1610843994902,51.5678803134077,51.57680459872462,train
G1/floor33/100026.mp4,45.1171986864584,54.9734280599858,55.2668228157246,50.4722189793093,51.457417135369525,train
G1/floor33/100027.mp4,58.3492241840281,54.0252489775824,56.3120637107188,54.1528486994527,55.7098463929455,test
G1/floor33/100028.mp4,59.540130632015,58.194778445366,36.7275900308514,62.0116857671692,54.1185462188504,train
G1/floor33/100029.mp4,58.5773306978977,56.9755577156689,49.8791166756336,46.2204997439491,52.913126208287316,train
G1/floor33/100030.mp4,42.1064458286252,39.9489832664165,43.7569852266058,44.4680846127535,42.570124733600245,train
G1/floor33/100031.mp4,51.2201114971274,55.4424246531807,48.4318262645307,52.7562234866743,51.96264647537828,train
G1/floor33/100032.mp4,50.6978375451685,55.0071985772442,45.9446541918024,38.3620436023537,47.5029334791422,train
G1/floor33/100033.mp4,49.9842312791701,51.7467284100274,55.1905649479161,57.8414716693167,53.690749076607574,train
G1/floor33/100034.mp4,44.6756090029828,53.8206748737298,40.6856871513438,38.8646814664893,44.511663123636424,train
